dist	len	time	scanned	reached	inserted	decreased	
586672	388	0.234	118819	338997	119397	17352	
535171	428	0.299	156542	443757	156929	22767	
198339	142	0.058	14008	34661	14241	916	
21203	23	0.038	756	2418	840	147	
304838	265	0.224	107108	322985	107750	18639	
427554	221	0.208	103701	283941	104220	12756	
1128887	955	0.416	230949	651871	231270	32434	
517954	479	0.238	120627	362837	121138	20625	
611837	478	0.329	172788	492577	173327	24864	
881160	599	0.467	255529	711546	255681	33402	
450862	303	0.128	58700	158661	58995	7177	
536385	538	0.401	209575	596154	210182	29987	
408434	379	0.188	91821	249886	92253	10816	
314878	275	0.174	81453	226332	82035	10879	
345000	276	0.205	98482	289778	99314	15522	
1072027	909	0.432	241101	678535	241413	33445	
137251	131	0.065	17651	54066	18055	3558	
600209	384	0.200	101911	286951	102351	14296	
375979	224	0.245	121192	349294	121790	18941	
543417	457	0.118	53296	143493	53550	6426	
567017	403	0.135	63296	172002	63604	7914	
755044	543	0.410	223093	629910	223487	31176	
235744	191	0.130	56847	156351	57307	7281	
393206	312	0.139	64316	175289	64650	7766	
951953	584	0.326	176695	505738	177110	26243	
1117744	814	0.434	240436	672900	240619	32794	
943729	729	0.434	240456	675425	240840	32790	
785031	616	0.375	201687	572260	201956	28997	
363542	400	0.133	59780	178477	60048	10129	
597501	447	0.249	128447	350948	129068	15579	
248248	203	0.159	71265	216944	72014	12944	
867281	693	0.426	234918	661345	235369	32136	
458233	347	0.190	93852	254937	94383	11276	
555965	507	0.262	136186	404833	136677	22503	
714257	560	0.389	210813	599838	211311	30325	
760165	693	0.444	241812	678164	242163	32842	
488345	284	0.090	35361	86860	35696	2433	
535743	324	0.343	179503	509630	179967	25103	
671096	489	0.286	151121	445072	151694	24454	
464113	221	0.358	184948	535078	185626	27849	
331941	270	0.196	94317	266284	94907	13444	
630500	387	0.452	241362	677211	241939	32477	
337684	287	0.143	66603	176501	66943	7203	
476229	404	0.298	152826	433846	153518	21349	
503758	356	0.249	128133	361261	128582	18631	
453654	389	0.275	139828	397014	140650	19809	
400583	363	0.134	61449	184381	61724	10304	
910411	612	0.385	211153	600096	211518	29906	
815524	633	0.338	183323	529910	183924	27823	
501879	336	0.381	197785	564591	198395	28443	
368137	254	0.147	67484	193752	68127	10088	
473966	358	0.218	109830	301041	110491	13622	
504809	400	0.288	148132	416578	148686	20449	
980999	732	0.404	223838	632157	224206	31161	
