dist	len	time	scanned	reached	inserted	decreased	
503758	356	0.281	115536	339544	116571	18834	
453654	389	0.219	84236	241391	85069	12686	
400583	363	0.184	65352	193810	66075	11079	
910411	612	0.247	104157	287412	104724	12798	
815524	633	0.214	86180	238416	86580	11106	
501879	336	0.175	62198	171964	62819	7996	
368137	254	0.168	56690	162437	57288	8006	
473966	358	0.187	68294	182289	69089	7460	
504809	400	0.273	111823	330375	112698	17704	
980999	732	0.329	147979	417183	148774	19896	
